pair,phase,measure,d,ci_low,ci_high
Cow / /ɑ/,exercise,shimmer_dB,-0.8280495837133048,-1.4155402750591612,-0.3379591333867513
Cow / /ɑ/,exercise,hnr_mean,0.9385150972664126,0.45247065918537566,1.5293145018733239
Cow / /ɑ/,exercise,intensity_mean_calibrated,0.10003037115614749,-0.5824682827693217,0.5756466682223895
Cow / /ɑ/,exercise,cog,-0.6737309976754219,-1.0757917115602906,-0.2626228697492429
Cow / /ɑ/,exercise,spectral_sd,-0.7274946049171577,-1.2949093629473483,-0.23107428476565414
Cow / /ɑ/,exercise,skewness,0.3320853947168643,-0.24423817343071935,0.8849899197380329
Cow / /ɑ/,exercise,kurtosis,0.4345891313910284,-0.10909763798337116,1.0069256616470907
Cow / /ɑ/,exercise,cpps,0.15683703218394104,-0.4079593853534284,0.8038981739900628
Cow / /ɑ/,exercise,h1_h2,0.7851912101690944,0.2518907703270084,1.4249367098953178
Cow / /ɑ/,exercise,f1,-0.5531061678290939,-1.1742165591212455,-0.008465304182864042
Cow / /ɑ/,exercise,f2,-0.5971353097912425,-1.2079428432842636,-0.0748603075552442
Cow / /ɑ/,exercise,alpha_ratio,-0.31069773436570286,-0.7006458568941872,0.3600607982652352
Cow / /ɑ/,exercise,lh_ratio,0.9081374408991615,-0.16928644151658112,2.306468850431909
Cow / /ɑ/,exercise,ltas_slope,-0.2516131745070284,-0.8189881153617404,0.32280080738583483
Cow / /ɑ/,exercise,ltas_tilt,-0.496938235371039,-1.235801516647906,0.039998778608615254
