participant,exercise_num,exercise_label,session,condition,stage,stage_order,n_tokens,f0_mean,jitter_local,shimmer_dB,hnr_mean,spectral_sd,intensity_mean_calibrated,cpps,h1_h2
P4,1,Ex 1 (Owl / /u/),B,human,mimic,0,4,534.2825,0.000974,0.11655,33.705,242.4925,109.67750000000001,24.8769,7.336875000000001
P4,1,Ex 1 (Owl / /u/),B,human,exercise,1,4,589.35,0.0008595,0.06035,35.6625,249.13250000000002,112.26499999999999,23.9728,9.1278
P4,1,Ex 1 (Owl / /u/),B,human,somewhere_some,2,1,248.91,0.002496,0.2906,19.26,316.77,101.81,26.0778,
P4,1,Ex 1 (Owl / /u/),B,human,somewhere_where,2,1,513.13,0.003534,0.2116,24.57,410.67,105.96,22.8191,2.7119
P4,1,Ex 1 (Owl / /u/),B,human,baseline_some,-1,1,254.97,0.002768,0.3164,21.38,338.68,105.09,26.514,
P4,1,Ex 1 (Owl / /u/),B,human,baseline_where,-1,1,517.31,0.004271,0.2004,24.81,383.82,107.72,20.3921,4.4322
P4,2,Ex 2 (Cat / /ae/),A,animal,mimic,0,5,444.812,0.0066064,0.2404,15.813999999999998,836.702,90.666,20.857319999999998,-8.80966
P4,2,Ex 2 (Cat / /ae/),A,animal,exercise,1,5,424.03600000000006,0.0031998,0.18068,19.594,557.7940000000001,97.59200000000001,24.58384,-6.75728
P4,2,Ex 2 (Cat / /ae/),A,animal,somewhere_some,2,1,254.01,0.002868,0.2803,23.51,348.64,96.36,27.1031,4.5414
P4,2,Ex 2 (Cat / /ae/),A,animal,somewhere_where,2,1,514.72,0.002933,0.2435,25.59,418.06,103.49,23.0516,2.5524
P4,2,Ex 2 (Cat / /ae/),A,animal,baseline_some,-1,1,257.19,0.002526,0.3348,23.38,341.94,97.29,26.0578,4.0223
P4,2,Ex 2 (Cat / /ae/),A,animal,baseline_where,-1,1,519.5,0.005004,0.1987,24.6,411.07,102.46,22.2479,5.925
P4,2,Ex 2 (Cat / /ae/),B,human,mimic,0,5,362.01000000000005,0.0062984,0.28312,13.580000000000002,496.58599999999996,97.02799999999999,24.03098,-6.35598
P4,2,Ex 2 (Cat / /ae/),B,human,exercise,1,4,415.5375,0.00374125,0.211325,20.0425,343.75,104.2925,24.99465,-5.101425000000001
P4,2,Ex 2 (Cat / /ae/),B,human,somewhere_some,2,1,252.77,0.001953,0.2895,22.45,321.49,107.3,28.678,2.535
P4,2,Ex 2 (Cat / /ae/),B,human,somewhere_where,2,1,498.38,0.002188,0.1411,25.71,358.68,109.33,24.0373,-1.5446
P4,2,Ex 2 (Cat / /ae/),B,human,baseline_some,-1,1,254.97,0.002768,0.3164,21.38,338.68,105.09,26.514,
P4,2,Ex 2 (Cat / /ae/),B,human,baseline_where,-1,1,517.31,0.004271,0.2004,24.81,383.82,107.72,20.3921,4.4322
P4,3,Ex 3 (Cow / /a/),A,animal,mimic,0,5,328.72799999999995,0.015881799999999998,0.42562,22.402,259.93,93.91400000000002,22.895899999999997,3.5007999999999995
P4,3,Ex 3 (Cow / /a/),A,animal,exercise,1,5,585.8100000000001,0.025894,1.02562,12.370000000000001,279.092,90.58,21.77096,7.942580000000001
P4,3,Ex 3 (Cow / /a/),A,animal,somewhere_some,2,1,258.11,0.001719,0.1682,24.66,340.83,97.68,25.6642,5.1478
P4,3,Ex 3 (Cow / /a/),A,animal,somewhere_where,2,1,517.39,0.003314,0.163,25.46,339.48,102.61,20.0113,2.8811
P4,3,Ex 3 (Cow / /a/),A,animal,baseline_some,-1,1,257.19,0.002526,0.3348,23.38,341.94,97.29,26.0578,4.0223
P4,3,Ex 3 (Cow / /a/),A,animal,baseline_where,-1,1,519.5,0.005004,0.1987,24.6,411.07,102.46,22.2479,5.925
P4,3,Ex 3 (Cow / /a/),B,human,mimic,0,5,437.87399999999997,0.031707,1.2262,9.232000000000003,304.508,91.292,18.6555,-5.2648600000000005
P4,3,Ex 3 (Cow / /a/),B,human,exercise,1,5,448.424,0.026896200000000002,1.22524,14.301999999999998,290.23600000000005,91.47,18.62034,-9.034180000000001
P4,3,Ex 3 (Cow / /a/),B,human,somewhere_some,2,1,251.2,0.002275,0.2761,22.46,293.46,111.98,28.3475,4.042
P4,3,Ex 3 (Cow / /a/),B,human,somewhere_where,2,1,498.25,0.002447,0.204,25.93,367.04,112.31,23.6275,-0.2751
P4,3,Ex 3 (Cow / /a/),B,human,baseline_some,-1,1,254.97,0.002768,0.3164,21.38,338.68,105.09,26.514,
P4,3,Ex 3 (Cow / /a/),B,human,baseline_where,-1,1,517.31,0.004271,0.2004,24.81,383.82,107.72,20.3921,4.4322
P5,1,Ex 1 (Owl / /u/),A,animal,mimic,0,5,520.116,0.0032427999999999997,0.12784,25.753999999999998,158.452,117.876,16.21098,15.61394
P5,1,Ex 1 (Owl / /u/),A,animal,exercise,1,5,590.3019999999999,0.0011477999999999998,0.06946,33.034000000000006,220.352,110.58399999999999,20.05806,9.679820000000001
P5,1,Ex 1 (Owl / /u/),A,animal,somewhere_some,2,1,261.85,0.003417,0.2567,22.22,496.78,104.78,26.8768,5.2877
P5,1,Ex 1 (Owl / /u/),A,animal,somewhere_where,2,1,525.31,0.004793,0.4782,24.46,376.56,107.38,21.836,5.885
P5,1,Ex 1 (Owl / /u/),A,animal,baseline_some,-1,1,258.41,0.003469,0.1695,23.17,289.35,96.78,22.0908,12.738
P5,1,Ex 1 (Owl / /u/),A,animal,baseline_where,-1,1,524.9,0.002652,0.2025,26.88,370.32,102.83,21.4571,
P5,1,Ex 1 (Owl / /u/),B,human,mimic,0,6,509.3583333333333,0.004370499999999999,0.19865,21.103333333333335,231.14333333333335,87.67333333333333,17.6527,14.874083333333333
P5,1,Ex 1 (Owl / /u/),B,human,exercise,1,5,585.5820000000001,0.0018448000000000002,0.08152000000000001,33.75,168.252,105.49600000000001,20.15438,14.905940000000001
P5,1,Ex 1 (Owl / /u/),B,human,somewhere_some,2,1,260.3,0.002386,0.1196,25.57,428.24,96.72,26.8284,2.6286
P5,1,Ex 1 (Owl / /u/),B,human,somewhere_where,2,1,530.11,0.001107,0.08,29.27,464.83,103.9,25.1329,7.537
P5,1,Ex 1 (Owl / /u/),B,human,baseline_some,-1,1,258.08,0.00247,0.1033,25.09,375.43,95.01,25.7366,9.4155
P5,1,Ex 1 (Owl / /u/),B,human,baseline_where,-1,1,528.16,0.002704,0.2401,27.14,454.98,100.17,23.8488,5.5051
P5,2,Ex 2 (Cat / /ae/),A,animal,mimic,0,6,399.59833333333336,0.0085705,0.35118333333333335,14.464999999999998,841.7966666666666,74.86833333333334,15.751683333333332,1.2211999999999998
P5,2,Ex 2 (Cat / /ae/),A,animal,exercise,1,5,407.756,0.005556,0.3736,18.274,726.9440000000001,105.12,23.05764,2.6578999999999997
P5,2,Ex 2 (Cat / /ae/),A,animal,somewhere_some,2,1,262.4,0.002234,0.1202,24.03,483.05,98.21,26.9352,5.5202
