participant,session,condition,pitch_target,segment_type,preceding_exercise,temporal_position,cumulative_blocks,f0_mean_baseline,f0_mean_post,f0_mean_change,f0_sd_baseline,f0_sd_post,f0_sd_change,jitter_local_baseline,jitter_local_post,jitter_local_change,shimmer_local_baseline,shimmer_local_post,shimmer_local_change,shimmer_dB_baseline,shimmer_dB_post,shimmer_dB_change,hnr_mean_baseline,hnr_mean_post,hnr_mean_change,intensity_mean_calibrated_baseline,intensity_mean_calibrated_post,intensity_mean_calibrated_change,cog_baseline,cog_post,cog_change,spectral_sd_baseline,spectral_sd_post,spectral_sd_change,skewness_baseline,skewness_post,skewness_change,kurtosis_baseline,kurtosis_post,kurtosis_change
P3,A,animal,where,somewhere_post_ex3,cow/a,2,2,512.17,512.38,0.21000000000003638,6.73,9.74,3.01,0.00361,0.002266,-0.0013440000000000001,0.023155,0.019641,-0.0035139999999999998,0.2033,0.1729,-0.03040000000000001,25.81,26.54,0.7300000000000004,107.78,109.41,1.6299999999999955,925.61,974.06,48.44999999999993,365.4,351.76,-13.639999999999986,8.0846,8.9304,0.8458000000000006,292.17,318.9233,26.753299999999967
P3,A,animal,where,somewhere_post_ex1,owl/u,3,3,512.17,528.4,16.230000000000018,6.73,11.78,5.049999999999999,0.00361,0.003275,-0.0003349999999999998,0.023155,0.021359,-0.001795999999999999,0.2033,0.1896,-0.013700000000000018,25.81,25.28,-0.5299999999999976,107.78,106.98,-0.7999999999999972,925.61,978.05,52.43999999999994,365.4,390.98,25.58000000000004,8.0846,7.7986,-0.2859999999999996,292.17,279.5497,-12.620300000000043
P3,B,human,where,somewhere_post_ex3,cow/a,1,1,520.65,524.27,3.6200000000000045,6.32,11.16,4.84,0.003331,0.003401,6.999999999999975e-05,0.02998,0.026871,-0.0031090000000000007,0.2532,0.2316,-0.02159999999999998,24.73,24.54,-0.19000000000000128,108.22,107.76,-0.45999999999999375,969.73,954.97,-14.759999999999991,359.2,388.19,28.99000000000001,10.4313,10.6771,0.24579999999999913,404.4845,384.8637,-19.62080000000003
P3,B,human,where,somewhere_post_ex1,owl/u,2,2,520.65,519.0,-1.6499999999999773,6.32,6.88,0.5599999999999996,0.003331,0.00233,-0.0010010000000000002,0.02998,0.016991,-0.012989,0.2532,0.1477,-0.10549999999999998,24.73,26.98,2.25,108.22,109.79,1.5700000000000074,969.73,982.51,12.779999999999973,359.2,308.24,-50.95999999999998,10.4313,13.5601,3.1288,404.4845,604.0701,199.5856
P3,B,human,where,somewhere_post_ex2,cat/ae,3,3,520.65,510.49,-10.159999999999968,6.32,6.5,0.17999999999999972,0.003331,0.00159,-0.0017410000000000001,0.02998,0.016273,-0.013707,0.2532,0.1422,-0.11099999999999999,24.73,27.71,2.9800000000000004,108.22,111.04,2.8200000000000074,969.73,967.55,-2.1800000000000637,359.2,285.11,-74.08999999999997,10.4313,10.1418,-0.2895000000000003,404.4845,459.2011,54.71659999999997
P4,A,animal,where,somewhere_post_ex3,cow/a,1,1,519.5,517.39,-2.1100000000000136,8.05,12.87,4.8199999999999985,0.005004,0.003314,-0.0016899999999999997,0.022948,0.017793,-0.005155,0.1987,0.163,-0.03569999999999998,24.6,25.46,0.8599999999999994,102.46,102.61,0.15000000000000568,800.7,735.62,-65.08000000000004,411.07,339.48,-71.58999999999997,8.4952,10.7933,2.2981,283.0281,411.4972,128.46910000000003
P4,A,animal,where,somewhere_post_ex1,owl/u,2,2,519.5,506.66,-12.839999999999975,8.05,12.24,4.1899999999999995,0.005004,0.001526,-0.0034779999999999998,0.022948,0.01237,-0.010577999999999999,0.1987,0.1157,-0.08299999999999999,24.6,30.81,6.209999999999997,102.46,100.42,-2.039999999999992,800.7,660.01,-140.69000000000005,411.07,305.48,-105.58999999999997,8.4952,6.8433,-1.6519000000000004,283.0281,274.9816,-8.04649999999998
P4,A,animal,where,somewhere_post_ex2,cat/ae,3,3,519.5,514.72,-4.779999999999973,8.05,12.12,4.0699999999999985,0.005004,0.002933,-0.002071,0.022948,0.029286,0.006338,0.1987,0.2435,0.044800000000000006,24.6,25.59,0.9899999999999984,102.46,103.49,1.0300000000000011,800.7,911.66,110.95999999999992,411.07,418.06,6.990000000000009,8.4952,5.4912,-3.0040000000000004,283.0281,170.8695,-112.1586
P4,B,human,where,somewhere_post_ex1,owl/u,1,1,517.31,513.13,-4.17999999999995,6.09,9.39,3.3000000000000007,0.004271,0.003534,-0.0007369999999999998,0.022711,0.024098,0.0013870000000000028,0.2004,0.2116,0.011200000000000015,24.81,24.57,-0.23999999999999844,107.72,105.96,-1.7600000000000051,760.52,892.36,131.84000000000003,383.82,410.67,26.850000000000023,10.641,4.6294,-6.0116,381.9334,133.8515,-248.08190000000002
P4,B,human,where,somewhere_post_ex2,cat/ae,2,2,517.31,498.38,-18.92999999999995,6.09,14.26,8.17,0.004271,0.002188,-0.0020829999999999998,0.022711,0.016402,-0.006308999999999999,0.2004,0.1411,-0.05929999999999999,24.81,25.71,0.9000000000000021,107.72,109.33,1.6099999999999994,760.52,910.96,150.44000000000005,383.82,358.68,-25.139999999999986,10.641,6.4982,-4.1428,381.9334,226.9526,-154.98080000000002
P4,B,human,where,somewhere_post_ex3,cow/a,3,3,517.31,498.25,-19.059999999999945,6.09,11.05,4.960000000000001,0.004271,0.002447,-0.0018239999999999997,0.022711,0.024223,0.001512000000000003,0.2004,0.204,0.003599999999999992,24.81,25.93,1.120000000000001,107.72,112.31,4.590000000000003,760.52,876.92,116.39999999999998,383.82,367.04,-16.779999999999973,10.641,6.6475,-3.9935,381.9334,233.7613,-148.1721
P5,A,animal,where,somewhere_post_ex3,cow/a,1,1,524.9,516.84,-8.059999999999945,4.13,11.06,6.930000000000001,0.002652,0.002621,-3.099999999999978e-05,0.023115,0.016696,-0.006419000000000001,0.2025,0.1468,-0.0557,26.88,27.72,0.8399999999999999,102.83,102.38,-0.45000000000000284,726.61,702.17,-24.440000000000055,370.32,355.08,-15.240000000000009,6.7876,7.4243,0.6366999999999994,220.2143,264.6323,44.41799999999998
